question,answers
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely"
which preservatives causes hormonal disruption., parabens and BHA/BHT
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids
what is the impact of over-fertilization.,"excessive vegetative growth, lodging, and reduced yield"
name any other way of storing cassava.,Use proper containers
how can farmers improve soil fertility of a clay soil.,"Improve drainage: Incorporate organic matter, such as compost or well-rotted manure, into the soil to improve its structure and drainage capacity.

Amend the soil: Add sand or other coarse materials to clay soil to improve its texture and increase its drainage ability.

Implement proper tillage practices: Avoid over-tilling or working the soil when it is too wet, as this can lead to compaction. Use appropriate tillage techniques to break up compacted soil layers and improve root penetration.

Apply organic matter: Regularly add organic matter, such as compost or cover crops, to the soil to enhance its fertility, structure, and water-holding capacity.

Practice crop rotation: Rotate maize with other crops that have different root structures and nutrient requirements to help break up compacted soil and reduce the risk of soil-borne diseases."
what is fertilization?,the process of adding nutrients to the soil to improve crop growth and yield
name any other way of storing cassava.,Use proper containers
what chemical methods are used to control termites.,"baits, soil treatments, and wood treatments"
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process
"Besides cow dung and urine, what does farmyard manure contain.",Animal bedding
how do we prevent foodborne illness?,"cook foods to proper temperatures, use separate cutting boards for uncooked meat and ready?to?eat foods, store leftover food in shallow containers and refrigerate within two hours."
name traditional methods that can be used to control pests in beans.,mixing wood ash or ash from cooking fires
what is the use of cow's special stomach,to store food for later chewing and digestion once they were hidden and out of danger
how does water spread blight in cassava field.,"Rain and irrigation water can spread the bacterium from infected plants to healthy ones, particularly in areas with high rainfall and high humidity."
whats the botanical name of african armyworm,Spodoptera exempta
